run_tag,model,n_features,n_qubits,feature_map,reps,entanglement,svm_c,multiclass_strategy,n_train_used,n_test,train_accuracy,test_accuracy,precision_macro,recall_macro,f1_macro,precision_weighted,recall_weighted,f1_weighted,wall_time_sec,seed
dann_pooled,QSVC,4,4,zz,2,linear,1.0,ovo,1200,300,0.9525,0.6133333333333333,0.6118386277960747,0.6133333333333334,0.603754394280523,0.6118386277960746,0.6133333333333333,0.6037543942805229,2.1,42
dann_crossclass,QSVC,4,4,zz,2,linear,1.0,ovo,1297,203,0.9498843484965304,0.0738916256157635,0.1219512195121951,0.2083333333333333,0.1538461538461538,0.0432536345067884,0.0738916256157635,0.0545661235316407,2.1,42
dann_pooled,QSVC,4,4,zz,2,linear,1.0,ovo,1200,300,0.9525,0.6133333333333333,0.6118386277960747,0.6133333333333334,0.603754394280523,0.6118386277960746,0.6133333333333333,0.6037543942805229,3.7,42
dann_crossclass,QSVC,4,4,zz,2,linear,1.0,ovo,1297,203,0.9498843484965305,0.07389162561576355,0.12195121951219512,0.20833333333333334,0.15384615384615385,0.04325363450678842,0.07389162561576355,0.054566123531640774,2.9,42
